OrderID,Date,Customer,Product,Category,Region,Quantity,Sales
1001,2025-01-05,Ahmed,Laptop,Electronics,North,1,3500
1002,2025-01-10,Sara,Phone,Electronics,West,2,4000
1003,2025-01-15,Mohammed,Chair,Furniture,East,4,2000
1004,2025-02-01,Fatimah,Desk,Furniture,South,1,900
1005,2025-02-10,Ali,Headphones,Accessories,North,3,900
1006,2025-02-15,Ahmed,Phone,Electronics,West,1,2000
1007,2025-03-01,Sara,Laptop,Electronics,East,2,7000
1008,2025-03-05,Mohammed,Chair,Furniture,South,2,1000
1009,2025-03-12,Fatimah,Mouse,Accessories,North,5,500
1010,2025-03-20,Ali,Keyboard,Accessories,West,3,600
